product_id,product_name,product_type,p_Sports,p_Grocery,p_Clothing,p_Electronics,p_Furniture
1001,Insulated Water Bottle,Sports,0.4745,0.4397,0.0239,0.0389,0.0230
1002,Organic Rolled Oats,Grocery,0.0298,0.8433,0.0490,0.0467,0.0312
1003,Extra Virgin Olive Oil,Grocery,0.2458,0.1294,0.2649,0.1799,0.1800
1004,Mountain Bike Helmet,Sports,0.3801,0.0145,0.1544,0.3405,0.1105
1005,Heated Winter Gloves,Clothing,0.3111,0.0942,0.1936,0.2011,0.2000
1006,Basmati Rice 5kg,Grocery,0.2772,0.6476,0.0226,0.0115,0.0411
1007,Carbon Tennis Racket,Sports,0.8510,0.1038,0.0123,0.0234,0.0095
1008,Portable Blender,Electronics,0.0080,0.0119,0.0115,0.9578,0.0108
1009,USB-C Docking Station,Electronics,0.0404,0.0108,0.0976,0.8462,0.0050
1010,Walnut Bookshelf,Furniture,0.0382,0.0315,0.0074,0.0529,0.8700
1011,Three-Seat Linen Sofa,Furniture,0.0773,0.0450,0.0525,0.3907,0.4345
1012,Yoga Mat,Sports,0.9027,0.0268,0.0035,0.0317,0.0353
1013,Mountain Bike Helmet,Sports,0.8700,0.0059,0.0139,0.0883,0.0219
1014,Wireless Noise-Cancelling Headphones,Electronics,0.2322,0.1731,0.2807,0.2122,0.1018
1015,Rain Jacket,Clothing,0.3431,0.2238,0.3292,0.0749,0.0290
1016,Carbon Tennis Racket,Sports,0.9633,0.0135,0.0108,0.0107,0.0017
1017,Smart Fitness Tracker,Electronics,0.3544,0.1938,0.0719,0.3247,0.0552
1018,Dark Chocolate Bar,Grocery,0.0439,0.8045,0.0259,0.0584,0.0673
1019,Smart Fitness Tracker,Electronics,0.1742,0.1000,0.0102,0.6280,0.0876
1020,Slim-Fit Chinos,Clothing,0.0547,0.0547,0.8223,0.0136,0.0547
1021,Carbon Tennis Racket,Sports,0.1071,0.1982,0.2422,0.1212,0.3313
1022,Walnut Bookshelf,Furniture,0.0216,0.0136,0.0377,0.8304,0.0967
1023,Standing Desk Frame,Furniture,0.1128,0.1431,0.0469,0.1617,0.5355
1024,Three-Seat Linen Sofa,Furniture,0.0441,0.0241,0.4499,0.0140,0.4679
1025,Whey Protein Powder,Grocery,0.0089,0.9596,0.0105,0.0105,0.0105
1026,Oak Dining Table,Furniture,0.1423,0.0253,0.0153,0.0093,0.8078
1027,Compression Running Tights,Sports,0.8258,0.0527,0.0639,0.0400,0.0176
1028,Merino Wool Sweater,Clothing,0.0269,0.0292,0.8855,0.0292,0.0292
1029,Slim-Fit Chinos,Clothing,0.3923,0.0378,0.4328,0.0479,0.0892
1030,Rain Jacket,Clothing,0.4594,0.0167,0.4308,0.0324,0.0607
1031,Heated Winter Gloves,Clothing,0.0053,0.0099,0.9345,0.0424,0.0079
1032,Running Shoes,Sports,0.5651,0.0073,0.3486,0.0163,0.0627
